city,popular_area,area_url,cellid,entityid,placeid,,
Kolkata,Elgin,https://www.zomato.com/kolkata/elgin-restaurants,	4180034509103693824,8352,ChIJxUkuCD13AjoRi-qzxtzm2NQ,,
Kolkata,Kasba,https://www.zomato.com/kolkata/kasba-restaurants,4180033927135625216,1064,ChIJTeQvkrV2AjoR6pkJofpibiE,,
Kolkata,Science City Area,https://www.zomato.com/kolkata/science-city-area-restaurants,	4180033824056410112,83525,ChIJE6H7zJ12AjoRiWvwQ1cWXHs,,
Kolkata,Kankurgachi,https://www.zomato.com/kolkata/kankurgachi-restaurants,4180033628635398144,1012,ChIJMWbNX3B2AjoRGA3r30plxj0,,
Kolkata,New Market Area,https://www.zomato.com/kolkata/new-market-area-restaurants,4180034283617910784,1169,ChIJa17uxwB3AjoRh-t8Z0ZsbZk,,
Kolkata,Park Circus Area,https://www.zomato.com/kolkata/park-circus-area-restaurants,4180034113966702592,1076,ChIJ-bKYxAR3AjoRsoolEJBFtfs,,
Kolkata,Desapriya Park,https://www.zomato.com/kolkata/desapriya-park-restaurants,4180034464006537216,1043,ChIJc9gA2dl2AjoRGFewEOY15fQ,,
Kolkata,Golpark,https://www.zomato.com/kolkata/golpark-restaurants,4180027834724515840,1054,ChIJ1TOhMytxAjoR9zrFm2P7Jl4,,
Kolkata,Bhawanipur,https://www.zomato.com/kolkata/bhawanipur-restaurants,4180034489776340992,1177,ChIJSyh1STh3AjoRZWevaGyXMxc,,
Kolkata,Sector 3, Salt Lake,https://www.zomato.com/kolkata/sector-3-salt-lake-restaurants,4180032937145663488,83524,ChIJ4Ur-gc91AjoRotq4rjHqHXw,
Kolkata,Hindustan Park,https://www.zomato.com/kolkata/hindustan-park-restaurants,4180034062427095040,1057,1446,,
Kolkata,Prince Anwar Shah Road,https://www.zomato.com/kolkata/prince-anwar-shah-road-restaurants,4180027486832164864,1079,ChIJK-8RUNpwAjoRWVlHmtcsNS4,,
Kolkata,Gariahat,https://www.zomato.com/kolkata/gariahat-restaurants,4180034060279611392,105,ChIJnTS4YGp3AjoRKqAiZKjd-ME,,
Kolkata,Behala,https://www.zomato.com/kolkata/behala-restaurants,4180037618660016128,52717,ChIJJ7f5chF6AjoR-IPrrPLClzE,,
Kolkata,Esplanade,https://www.zomato.com/kolkata/esplanade-restaurants,4180034966517710848,1164,1307,,
Kolkata,Theatre Road,https://www.zomato.com/kolkata/theatre-road-restaurants,4180034356632354816,1175,ChIJIWM35Rl3AjoRXr7hCUwnkyk,,
Kolkata,Jadavpur,https://www.zomato.com/kolkata/jadavpur-restaurants,4180027800364777472,1058,ChIJ__ybACNxAjoRBApjL5Xaflg,,
Kolkata,Hatibagan,https://www.zomato.com/kolkata/hatibagan-restaurants,4180033353757491200,1123,ChIJvaRYRTB2AjoRaOvuVf7mtec,,
Kolkata,Tollygunge,https://www.zomato.com/kolkata/tollygunge-restaurants,4180027405227786240,1179,ChIJ4-OqK8dwAjoRmoCJZU0LHWs,,
Kolkata,Nagerbazar,https://www.zomato.com/kolkata/nagerbazar-restaurants,4177262485671247872,98004,ChIJFQImABme-DkRU98S9nttij8,,
Kolkata,Lake Market Area,https://www.zomato.com/kolkata/lake-market-area-restaurants,4180027428850106368,98011,ChIJb6EaxcxwAjoRm2GTERmuh8M,,
Mumbai,Mumbai,https://www.zomato.com/mumbai/,4316646509572521984,3,77482,,
Mumbai,Lower Parel,https://www.zomato.com/mumbai/lower-parel-restaurants,	4316646286234222592,2018,10097,,
Mumbai,Powai,https://www.zomato.com/mumbai/powai-restaurants,4316638553145606144,2111,ChIJHauIHgDH5zsRk-e61zwaDwg,,
Mumbai,Malad West,https://www.zomato.com/mumbai/malad-west-restaurants,4316619917282508800,2214,ChIJs20BxPG25zsRjMcu_OeNJ9M,,
Mumbai,Borivali West,https://www.zomato.com/mumbai/borivali-west-restaurants,4316613543551041536,2216,ChIJq-2h9SWx5zsRO3yLeWwNnxk,,
Mumbai,Bandra Kurla Complex,https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants,4316639667689619456,2409,ChIJR8QQfwDJ5zsRkd5R65re5dE,,
Mumbai,Vashi,https://www.zomato.com/mumbai/vashi-restaurants,4316631210899013632,2301,ChIJWTJELzfB5zsRnmlvrYh8_1k,,
Mumbai,Fort,https://www.zomato.com/mumbai/fort-restaurants,4316649503164727296,2005,865,,
Mumbai,Juhu,https://www.zomato.com/mumbai/juhu-restaurants,	4316640601845006336,2204,ChIJe4rQxsHJ5zsRD2D_TTnLIe8,,
Mumbai,Andheri Lokhandwala, Andheri...,https://www.zomato.com/mumbai/andheri-lokhandwala-andheri-west-restaurants,4316618976684670976,2228,1016,
Mumbai,Colaba,https://www.zomato.com/mumbai/colaba-restaurants,4316649206811983872,2001,ChIJAQAAAIXR5zsRwrCPIiUxEVs,,
Mumbai,Linking Road, Bandra West,https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants,4316639867405598720,8224,ChIJSajSshbJ5zsRAAAAsFjOnVA,
Mumbai,Khar,https://www.zomato.com/mumbai/khar-restaurants,4316639824455925760,2203,ChIJVf01iQzJ5zsRL93UkVV_kBw,,
Mumbai,Pali Hill, Bandra West,https://www.zomato.com/mumbai/pali-hill-bandra-west-restaurants,4316639852373213184,82238,ChIJOd91RRPJ5zsRbaVHMiUgz2U,
Mumbai,Chembur,https://www.zomato.com/mumbai/chembur-restaurants,4316639401401647104,2108,ChIJ16gGjDXP5zsRph5BeZ7VsWg,,
Mumbai,Marol,https://www.zomato.com/mumbai/marol-restaurants,4316638744271650816,2119,ChIJhTXjPRHI5zsRz21qcRn-NiQ,,
Mumbai,Veera Desai Area,https://www.zomato.com/mumbai/veera-desai-area-restaurants,4316619041109180416,163345,ChIJbXQkuCW25zsRSAgVJe1asOE,,
Mumbai,Goregaon East,https://www.zomato.com/mumbai/goregaon-east-restaurants,4316620986729365504,2225,ChIJT-f4a8K35zsR6MI3NRQm3O4,,
Mumbai,Mira Road,https://www.zomato.com/mumbai/mira-road-restaurants,4316612568593465344,2406,ChIJR3GK0EKw5zsRcaSdePYxaPU,,
Mumbai,Panch Pakhadi, Thane West,https://www.zomato.com/mumbai/panch-pakhadi-thane-west-restaurants,4316622288104456192,72131,ChIJbR6FT-C55zsR7I7bffpv6vk,
Mumbai,Worli,https://www.zomato.com/mumbai/worli-restaurants,4316645888949747712,201,ChIJpen_tZDO5zsRpW8X8mxR2yU,,
Mumbai,Sakinaka,https://www.zomato.com/mumbai/sakinaka-restaurants,4316639150146060288,2118,ChIJH5r6UQDJ5zsRNfSdhQ4SNQw,,
Mumbai,Mulund West,https://www.zomato.com/mumbai/mulund-west-restaurants,4316621452733317120,2113,ChIJzxeOW3S55zsRlxvd2BeAqZw,,
Mumbai,Chakala,https://www.zomato.com/mumbai/chakala-restaurants,4316638913922859008,162285,ChIJI-tFpDjI5zsRDalqVRMq8J4,,
